"Yr","Seas","FltSvy","Gender","Part","Ageerr","Lbin_lo","Lbin_hi","Nsamp","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21"
1982,7,2,1,0,1,10,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,7,2,1,0,1,12,12,19,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,7,2,1,0,1,14,14,17,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,7,2,1,0,1,16,16,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,7,2,1,0,1,18,18,13,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,7,2,1,0,1,20,20,21,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,7,2,1,0,1,22,22,13,0,0,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,7,2,1,0,1,24,24,11,0,0,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,7,2,1,0,1,26,26,16,0,0,0,0,6,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,7,2,1,0,1,28,28,12,0,0,0,0,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,7,2,1,0,1,30,30,12,0,0,0,0,0,1,3,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,1,0,2,0,0,0,0,0,0,0,0,0
1982,7,2,1,0,1,32,32,17,0,0,0,0,0,0,2,5,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,2,1,1,1,0,0,0,0,0,0,0,0
1982,7,2,1,0,1,34,34,14,0,0,0,0,0,0,3,2,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,1,2,1,0,0,0,0,0,0,0,0
1982,7,2,1,0,1,36,36,15,0,0,0,0,0,0,0,0,2,2,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,3,0,1,0,0,0,0,0,0
1982,7,2,1,0,1,38,38,6,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0
1982,7,2,1,0,1,40,40,6,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0
1982,7,2,1,0,1,42,42,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
1985,7,2,1,0,1,10,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,7,2,1,0,1,12,12,8,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,7,2,1,0,1,14,14,18,0,2,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,7,2,1,0,1,16,16,18,0,0,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,7,2,1,0,1,18,18,21,0,1,6,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,7,2,1,0,1,20,20,20,0,0,2,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,7,2,1,0,1,22,22,19,0,0,2,9,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
