
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
212.06 84.824 74.221 496.998 398.154 154.355 
CV Recruit
0.498252 
Alternative 1 Alternative  Stock: BSAI_flats
Catch BSAI_flats
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2018  0 38.5606 42.1726 11.305 11.305 11.305 11.305 1.66978e-13 
2019  0 38.5606 42.1726 66.6211 66.6239 66.6245 66.63 0.00296326 
2020  0 38.5606 42.1726 59.5867 59.6159 59.6215 59.6759 0.0296429 
2021  0 38.5606 42.1726 55.5969 55.756 55.7833 56.0643 0.157328 
2022  0 38.5606 42.1726 53.0402 53.5994 53.6865 54.5881 0.527061 
2023  0 38.5606 42.1726 50.5955 51.9566 52.1558 54.315 1.24566 
2024  0 38.5606 42.1726 47.6116 50.2301 50.5167 54.4227 2.26613 
2025  0 38.5606 42.1726 44.2079 48.1754 48.6003 54.71 3.38466 
2026  0 38.5606 42.1726 40.7417 45.9346 46.5884 54.0707 4.37292 
2027  0 38.5606 42.1726 37.4602 44.0952 44.6599 53.5826 5.12498 
2028  0 38.5606 42.1726 32.7283 42.3541 42.7486 52.8657 5.9754 
2029  0 38.5606 42.1726 29.3632 41.1871 41.0565 51.5874 6.68312 
2030  0 38.5606 42.1726 27.7258 40.0943 39.8212 50.9235 7.03857 
2031  0 38.5606 42.1726 27.3032 39.2345 39.0071 50.4163 7.15144 

Spawning_Biomass BSAI_flats
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2018 212.06 84.824 74.221 154.355 154.355 154.355 154.355 3.35376e-12 
2019 212.06 84.824 74.221 153.197 153.202 153.203 153.213 0.00519058 
2020 212.06 84.824 74.221 131.627 131.653 131.658 131.705 0.0264876 
2021 212.06 84.824 74.221 120.714 120.821 120.838 121.015 0.102425 
2022 212.06 84.824 74.221 116.001 116.362 116.417 116.993 0.336452 
2023 212.06 84.824 74.221 113.996 115.038 115.186 116.834 0.962811 
2024 212.06 84.824 74.221 111.301 113.956 114.318 118.435 2.39141 
2025 212.06 84.824 74.221 105.176 110.748 111.465 119.961 4.94617 
2026 212.06 84.824 74.221 96.1125 105.746 106.764 121.356 8.19415 
2027 212.06 84.824 74.221 87.1493 99.9042 101.6 120.591 11.0113 
2028 212.06 84.824 74.221 79.6656 95.4527 97.0429 119.217 12.7632 
2029 212.06 84.824 74.221 74.6961 91.8453 93.5346 117.38 13.5005 
2030 212.06 84.824 74.221 72.0815 89.4473 91.0655 114.534 13.5918 
2031 212.06 84.824 74.221 70.863 87.7049 89.4473 113.956 13.383 

Fishing_mortalityBSAI_flats
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2018  0 0.380297 0.472195 0.0603301 0.0603301 0.0603301 0.0603301 6.45317e-16 
2019  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2020  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2021  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2022  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2023  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2024  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2025  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2026  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2027  0 0.380297 0.472195 0.380297 0.380297 0.380155 0.380297 0.00146279 
2028  0 0.380297 0.472195 0.355953 0.380297 0.377178 0.380297 0.00912047 
2029  0 0.380297 0.472195 0.3325 0.380297 0.372323 0.380297 0.0166708 
2030  0 0.380297 0.472195 0.320161 0.380297 0.368362 0.380297 0.0214228 
2031  0 0.380297 0.472195 0.314411 0.380297 0.365822 0.380297 0.0236048 

Total_BiomassBSAI_flats
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2018 1391.42 466.448 444.529 652.825 652.825 652.825 652.825 1.61435e-11 
2019 1391.42 466.448 444.529 662.545 671.745 673.718 691.643 9.65168 
2020 1391.42 466.448 444.529 614.328 636.197 639.389 673.589 20.3512 
2021 1391.42 466.448 444.529 569.969 606.724 611.193 666.278 31.7356 
2022 1391.42 466.448 444.529 531.334 580.46 586.212 657.761 42.1835 
2023 1391.42 466.448 444.529 493.568 556.808 563.13 651.399 51.1678 
2024 1391.42 466.448 444.529 458.934 535.529 541.996 645.826 57.976 
2025 1391.42 466.448 444.529 431.847 516.183 523.314 634.54 62.7687 
2026 1391.42 466.448 444.529 409.609 501.779 507.643 619.958 65.5395 
2027 1391.42 466.448 444.529 398.44 488.81 495.498 615.874 67.0696 
2028 1391.42 466.448 444.529 388.434 477.588 486.066 608.144 68.2977 
2029 1391.42 466.448 444.529 378.651 471.826 479.163 602.335 68.3715 
2030 1391.42 466.448 444.529 376.079 466.488 473.887 592.969 67.8391 
2031 1391.42 466.448 444.529 369.085 464.527 470.207 589.92 67.1692 
Alternative 2 Alternative  Stock: BSAI_flats
Catch BSAI_flats
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2018  0 38.5606 42.1726 11.305 11.305 11.305 11.305 1.66978e-13 
2019  0 38.5606 42.1726 66.6211 66.6239 66.6245 66.63 0.00296326 
2020  0 38.5606 42.1726 59.5867 59.6159 59.6215 59.6759 0.0296429 
2021  0 38.5606 42.1726 55.5969 55.756 55.7833 56.0643 0.157328 
2022  0 38.5606 42.1726 53.0402 53.5994 53.6865 54.5881 0.527061 
2023  0 38.5606 42.1726 50.5955 51.9566 52.1558 54.315 1.24566 
2024  0 38.5606 42.1726 47.6116 50.2301 50.5167 54.4227 2.26613 
2025  0 38.5606 42.1726 44.2079 48.1754 48.6003 54.71 3.38466 
2026  0 38.5606 42.1726 40.7417 45.9346 46.5884 54.0707 4.37292 
2027  0 38.5606 42.1726 37.4602 44.0952 44.6599 53.5826 5.12498 
2028  0 38.5606 42.1726 32.7283 42.3541 42.7486 52.8657 5.9754 
2029  0 38.5606 42.1726 29.3632 41.1871 41.0565 51.5874 6.68312 
2030  0 38.5606 42.1726 27.7258 40.0943 39.8212 50.9235 7.03857 
2031  0 38.5606 42.1726 27.3032 39.2345 39.0071 50.4163 7.15144 

Spawning_Biomass BSAI_flats
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2018 212.06 84.824 74.221 154.355 154.355 154.355 154.355 3.35376e-12 
2019 212.06 84.824 74.221 153.197 153.202 153.203 153.213 0.00519058 
2020 212.06 84.824 74.221 131.627 131.653 131.658 131.705 0.0264876 
2021 212.06 84.824 74.221 120.714 120.821 120.838 121.015 0.102425 
2022 212.06 84.824 74.221 116.001 116.362 116.417 116.993 0.336452 
2023 212.06 84.824 74.221 113.996 115.038 115.186 116.834 0.962811 
2024 212.06 84.824 74.221 111.301 113.956 114.318 118.435 2.39141 
2025 212.06 84.824 74.221 105.176 110.748 111.465 119.961 4.94617 
2026 212.06 84.824 74.221 96.1125 105.746 106.764 121.356 8.19415 
2027 212.06 84.824 74.221 87.1493 99.9042 101.6 120.591 11.0113 
2028 212.06 84.824 74.221 79.6656 95.4527 97.0429 119.217 12.7632 
2029 212.06 84.824 74.221 74.6961 91.8453 93.5346 117.38 13.5005 
2030 212.06 84.824 74.221 72.0815 89.4473 91.0655 114.534 13.5918 
2031 212.06 84.824 74.221 70.863 87.7049 89.4473 113.956 13.383 

Fishing_mortalityBSAI_flats
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2018  0 0.380297 0.472195 0.0603301 0.0603301 0.0603301 0.0603301 6.45317e-16 
2019  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2020  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2021  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2022  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2023  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2024  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2025  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2026  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2027  0 0.380297 0.472195 0.380297 0.380297 0.380155 0.380297 0.00146279 
2028  0 0.380297 0.472195 0.355953 0.380297 0.377178 0.380297 0.00912047 
2029  0 0.380297 0.472195 0.3325 0.380297 0.372323 0.380297 0.0166708 
2030  0 0.380297 0.472195 0.320161 0.380297 0.368362 0.380297 0.0214228 
2031  0 0.380297 0.472195 0.314411 0.380297 0.365822 0.380297 0.0236048 

Total_BiomassBSAI_flats
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2018 1391.42 466.448 444.529 652.825 652.825 652.825 652.825 1.61435e-11 
2019 1391.42 466.448 444.529 662.545 671.745 673.718 691.643 9.65168 
2020 1391.42 466.448 444.529 614.328 636.197 639.389 673.589 20.3512 
2021 1391.42 466.448 444.529 569.969 606.724 611.193 666.278 31.7356 
2022 1391.42 466.448 444.529 531.334 580.46 586.212 657.761 42.1835 
2023 1391.42 466.448 444.529 493.568 556.808 563.13 651.399 51.1678 
2024 1391.42 466.448 444.529 458.934 535.529 541.996 645.826 57.976 
2025 1391.42 466.448 444.529 431.847 516.183 523.314 634.54 62.7687 
2026 1391.42 466.448 444.529 409.609 501.779 507.643 619.958 65.5395 
2027 1391.42 466.448 444.529 398.44 488.81 495.498 615.874 67.0696 
2028 1391.42 466.448 444.529 388.434 477.588 486.066 608.144 68.2977 
2029 1391.42 466.448 444.529 378.651 471.826 479.163 602.335 68.3715 
2030 1391.42 466.448 444.529 376.079 466.488 473.887 592.969 67.8391 
2031 1391.42 466.448 444.529 369.085 464.527 470.207 589.92 67.1692 
Alternative 3 Alternative  Stock: BSAI_flats
Catch BSAI_flats
