"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"3008",227807,197007,325381,266313,217708,177175,143224,115154,92296,73860,59062,47211,37731,30151,24093,19252,15382,12291,9821,7847,6270,24922
"3010",217992,186507,161279,266308,217689,177115,143121,115035,92185,73764,58983,47147,37679,30110,24060,19225,15361,12274,9807,7836,6261,24888
"3012",211141,178476,152695,132032,217937,177914,144468,116554,93596,74970,59976,47952,38327,30630,24476,19558,15628,12487,9977,7972,6370,25320
"3014",209168,172866,146118,124999,108028,177973,144871,117364,94561,75884,60763,48603,38856,31056,24818,19832,15847,12662,10117,8084,6459,25676
"3016",213685,171247,141518,119594,102193,87943,143963,116587,94171,75761,60754,48630,38891,31089,24847,19856,15866,12678,10130,8094,6467,25708
"3018",224264,174945,140191,115824,97753,83119,71005,115549,93256,75197,60446,48453,38776,31007,24785,19808,15828,12648,10106,8075,6452,25648
"3020",235369,183607,143221,114746,94703,79615,67302,57223,92868,74849,60315,48468,38845,31084,24855,19867,15877,12687,10138,8100,6472,25729
"3022",238330,192693,150296,117182,93657,76594,63518,53107,44868,72584,58411,47033,37781,30274,24223,19367,15480,12371,9885,7899,6311,25089
"3024",238257,195113,157722,122942,95538,75414,60539,49457,40995,34485,55671,44754,36018,28924,23173,18540,14823,11847,9467,7565,6045,24029
"3026",213569,195061,159727,129082,100473,77658,60807,48498,39472,32656,27446,44288,35595,28643,23001,18427,14742,11786,9420,7528,6015,23912
"3028",250896,174844,159670,130679,105329,81172,61814,47825,37880,30724,25376,21310,34372,27620,22223,17844,14294,11436,9143,7307,5839,23214
"3030",304585,205406,143127,130651,106701,85314,64964,48996,37696,29774,24117,19906,16710,26949,21653,17421,13987,11205,8964,7166,5727,22773
"3032",310515,249368,168161,117155,106851,86984,69216,52502,39508,30363,23969,19409,16018,13446,21683,17421,14016,11254,9015,7212,5766,22930
"3034",279450,254220,204144,137628,95755,86893,70205,55525,41969,31526,24208,19102,15465,12762,10712,17274,13878,11165,8965,7181,5745,22858
"3036",402416,228787,208114,167073,112472,77824,70044,56219,44294,33416,25079,19248,15185,12292,10143,8513,13728,11029,8873,7124,5707,22731
"3038",532569,329450,187275,170265,136324,90854,61928,55068,43891,34460,25953,19462,14931,11776,9532,7865,6601,10643,8551,6879,5523,22047
"3040",611500,436018,269705,153278,139189,110940,73440,49787,44133,35120,27553,20744,15552,11930,9409,7616,6283,5273,8503,6832,5496,22026
"3042",1131080,500633,356933,220713,125220,112976,89182,58578,39534,34965,27794,21794,16404,12296,9432,7439,6020,4967,4169,6722,5400,21756
"3044",488491,926006,409815,292063,180217,101429,90425,70696,46178,31079,27450,21806,17093,12863,9641,7395,5832,4720,3894,3268,5270,21289
"3046",351086,399927,758050,335376,238615,146316,81582,72184,56189,36622,24621,21735,17262,13529,10180,7630,5852,4615,3735,3082,2586,21016
