
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
212.06 84.824 74.221 496.998 398.154 154.355 
CV Recruit
0.498252 
Alternative 1 Alternative  Stock: BSAI_flats
Catch BSAI_flats
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2018  0 38.5606 42.1726 11.305 11.305 11.305 11.305 1.66978e-13 
2019  0 38.5606 42.1726 12.936 12.936 12.936 12.936 6.76913e-10 
2020  0 38.5606 42.1726 12.936 12.936 12.936 12.936 7.86693e-09 
2021  0 38.5606 42.1726 70.9727 71.1329 71.1604 71.4436 0.158497 
2022  0 38.5606 42.1726 64.2997 64.8606 64.9477 65.8519 0.528471 
2023  0 38.5606 42.1726 58.7272 60.09 60.29 62.45 1.24764 
2024  0 38.5606 42.1726 53.377 55.9978 56.2854 60.1974 2.26873 
2025  0 38.5606 42.1726 48.206 52.1763 52.6033 58.7208 3.38756 
2026  0 38.5606 42.1726 43.4719 48.6646 49.3194 56.8042 4.37565 
2027  0 38.5606 42.1726 39.285 45.9275 46.4998 55.4106 5.1054 
2028  0 38.5606 42.1726 34.9577 43.5599 44.0845 54.0705 5.78582 
2029  0 38.5606 42.1726 30.4196 41.9661 41.9647 52.3679 6.55173 
2030  0 38.5606 42.1726 28.3292 40.612 40.3841 51.426 6.99214 
2031  0 38.5606 42.1726 27.5304 39.5568 39.3396 50.7352 7.14651 

Spawning_Biomass BSAI_flats
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2018 212.06 84.824 74.221 154.355 154.355 154.355 154.355 3.35376e-12 
2019 212.06 84.824 74.221 153.197 153.202 153.203 153.213 0.00519058 
2020 212.06 84.824 74.221 155.001 155.028 155.032 155.08 0.0267233 
2021 212.06 84.824 74.221 160.955 161.065 161.082 161.264 0.104932 
2022 212.06 84.824 74.221 145.034 145.397 145.453 146.032 0.33843 
2023 212.06 84.824 74.221 134.63 135.675 135.823 137.474 0.964701 
2024 212.06 84.824 74.221 125.651 128.308 128.672 132.793 2.39384 
2025 212.06 84.824 74.221 114.897 120.475 121.19 129.696 4.94977 
2026 212.06 84.824 74.221 102.56 112.202 113.218 127.818 8.19884 
2027 212.06 84.824 74.221 91.3326 104.096 105.791 124.779 11.016 
2028 212.06 84.824 74.221 82.3302 98.1237 99.7085 121.891 12.7749 
2029 212.06 84.824 74.221 75.8371 93.5208 95.1571 119.064 13.5762 
2030 212.06 84.824 74.221 72.8624 90.4888 92.0079 115.575 13.7008 
2031 212.06 84.824 74.221 71.1388 88.1524 89.9721 114.595 13.4867 

Fishing_mortalityBSAI_flats
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2018  0 0.380297 0.472195 0.0603301 0.0603301 0.0603301 0.0603301 6.45317e-16 
2019  0 0.380297 0.472195 0.0683303 0.0683363 0.0683357 0.068339 2.86274e-06 
2020  0 0.380297 0.472195 0.0665986 0.0666541 0.0666489 0.0666808 2.73067e-05 
2021  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2022  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2023  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2024  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2025  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2026  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2027  0 0.380297 0.472195 0.380297 0.380297 0.380287 0.380297 0.000228337 
2028  0 0.380297 0.472195 0.368528 0.380297 0.378771 0.380297 0.00596906 
2029  0 0.380297 0.472195 0.337885 0.380297 0.374123 0.380297 0.0145972 
2030  0 0.380297 0.472195 0.323846 0.380297 0.369599 0.380297 0.0203256 
2031  0 0.380297 0.472195 0.315712 0.380297 0.366552 0.380297 0.0230886 

Total_BiomassBSAI_flats
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2018 1391.42 466.448 444.529 652.825 652.825 652.825 652.825 1.61435e-11 
2019 1391.42 466.448 444.529 662.545 671.745 673.718 691.643 9.65168 
2020 1391.42 466.448 444.529 661.365 683.239 686.431 720.64 20.3551 
2021 1391.42 466.448 444.529 652.011 688.784 693.265 748.435 31.7709 
2022 1391.42 466.448 444.529 589.613 638.723 644.52 716.169 42.218 
2023 1391.42 466.448 444.529 534.309 597.62 603.911 692.225 51.1983 
2024 1391.42 466.448 444.529 486.936 563.562 570.042 673.933 58.0005 
2025 1391.42 466.448 444.529 450.779 535.091 542.265 653.581 62.787 
2026 1391.42 466.448 444.529 422.223 514.372 520.274 632.637 65.552 
2027 1391.42 466.448 444.529 406.713 497.101 503.8 624.2 67.0773 
2028 1391.42 466.448 444.529 393.811 482.987 491.444 613.54 68.3119 
2029 1391.42 466.448 444.529 381.576 475.32 482.502 605.79 68.465 
2030 1391.42 466.448 444.529 377.807 468.692 475.872 595.183 67.9576 
2031 1391.42 466.448 444.529 370.359 465.591 471.351 591.223 67.2669 
Alternative 2 Alternative  Stock: BSAI_flats
Catch BSAI_flats
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2018  0 38.5606 42.1726 11.305 11.305 11.305 11.305 1.66978e-13 
2019  0 38.5606 42.1726 12.936 12.936 12.936 12.936 6.76913e-10 
2020  0 38.5606 42.1726 12.936 12.936 12.936 12.936 7.86693e-09 
2021  0 38.5606 42.1726 70.9727 71.1329 71.1604 71.4436 0.158497 
2022  0 38.5606 42.1726 64.2997 64.8606 64.9477 65.8519 0.528471 
2023  0 38.5606 42.1726 58.7272 60.09 60.29 62.45 1.24764 
2024  0 38.5606 42.1726 53.377 55.9978 56.2854 60.1974 2.26873 
2025  0 38.5606 42.1726 48.206 52.1763 52.6033 58.7208 3.38756 
2026  0 38.5606 42.1726 43.4719 48.6646 49.3194 56.8042 4.37565 
2027  0 38.5606 42.1726 39.285 45.9275 46.4998 55.4106 5.1054 
2028  0 38.5606 42.1726 34.9577 43.5599 44.0845 54.0705 5.78582 
2029  0 38.5606 42.1726 30.4196 41.9661 41.9647 52.3679 6.55173 
2030  0 38.5606 42.1726 28.3292 40.612 40.3841 51.426 6.99214 
2031  0 38.5606 42.1726 27.5304 39.5568 39.3396 50.7352 7.14651 

Spawning_Biomass BSAI_flats
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2018 212.06 84.824 74.221 154.355 154.355 154.355 154.355 3.35376e-12 
2019 212.06 84.824 74.221 153.197 153.202 153.203 153.213 0.00519058 
2020 212.06 84.824 74.221 155.001 155.028 155.032 155.08 0.0267233 
2021 212.06 84.824 74.221 160.955 161.065 161.082 161.264 0.104932 
2022 212.06 84.824 74.221 145.034 145.397 145.453 146.032 0.33843 
2023 212.06 84.824 74.221 134.63 135.675 135.823 137.474 0.964701 
2024 212.06 84.824 74.221 125.651 128.308 128.672 132.793 2.39384 
2025 212.06 84.824 74.221 114.897 120.475 121.19 129.696 4.94977 
2026 212.06 84.824 74.221 102.56 112.202 113.218 127.818 8.19884 
2027 212.06 84.824 74.221 91.3326 104.096 105.791 124.779 11.016 
2028 212.06 84.824 74.221 82.3302 98.1237 99.7085 121.891 12.7749 
2029 212.06 84.824 74.221 75.8371 93.5208 95.1571 119.064 13.5762 
2030 212.06 84.824 74.221 72.8624 90.4888 92.0079 115.575 13.7008 
2031 212.06 84.824 74.221 71.1388 88.1524 89.9721 114.595 13.4867 

Fishing_mortalityBSAI_flats
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2018  0 0.380297 0.472195 0.0603301 0.0603301 0.0603301 0.0603301 6.45317e-16 
2019  0 0.380297 0.472195 0.0683303 0.0683363 0.0683357 0.068339 2.86274e-06 
2020  0 0.380297 0.472195 0.0665986 0.0666541 0.0666489 0.0666808 2.73067e-05 
2021  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2022  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2023  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2024  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2025  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2026  0 0.380297 0.472195 0.380297 0.380297 0.380297 0.380297 1.11022e-15 
2027  0 0.380297 0.472195 0.380297 0.380297 0.380287 0.380297 0.000228337 
2028  0 0.380297 0.472195 0.368528 0.380297 0.378771 0.380297 0.00596906 
2029  0 0.380297 0.472195 0.337885 0.380297 0.374123 0.380297 0.0145972 
2030  0 0.380297 0.472195 0.323846 0.380297 0.369599 0.380297 0.0203256 
2031  0 0.380297 0.472195 0.315712 0.380297 0.366552 0.380297 0.0230886 

Total_BiomassBSAI_flats
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2018 1391.42 466.448 444.529 652.825 652.825 652.825 652.825 1.61435e-11 
2019 1391.42 466.448 444.529 662.545 671.745 673.718 691.643 9.65168 
2020 1391.42 466.448 444.529 661.365 683.239 686.431 720.64 20.3551 
2021 1391.42 466.448 444.529 652.011 688.784 693.265 748.435 31.7709 
2022 1391.42 466.448 444.529 589.613 638.723 644.52 716.169 42.218 
2023 1391.42 466.448 444.529 534.309 597.62 603.911 692.225 51.1983 
2024 1391.42 466.448 444.529 486.936 563.562 570.042 673.933 58.0005 
