
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
203.658 81.4632 71.2803 463.674 372.91 146.307 
CV Recruit
0.493348 
Alternative 1 Alternative  Stock: Model_Proj.dat
Catch Model_Proj.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2020  0 35.2579 38.4221 8.669 8.669 8.669 8.669 8.88178e-15 
2021  0 35.2579 38.4221 62.563 62.5665 62.5672 62.574 0.0036167 
2022  0 35.2579 38.4221 55.8809 55.9116 55.9178 55.9742 0.0310748 
2023  0 35.2579 38.4221 51.1142 51.2667 51.2919 51.5561 0.149278 
2024  0 35.2579 38.4221 47.3228 47.8365 47.9167 48.7363 0.480059 
2025  0 35.2579 38.4221 43.8479 45.0795 45.2562 47.2088 1.12074 
2026  0 35.2579 38.4221 40.499 42.8622 43.1276 46.6259 2.03776 
2027  0 35.2579 38.4221 37.3889 40.9596 41.3639 46.8763 3.05299 
2028  0 35.2579 38.4221 34.6065 39.3264 39.9087 46.6709 3.96977 
2029  0 35.2579 38.4221 30.4754 38.226 38.4741 46.9862 5.03487 
2030  0 35.2579 38.4221 27.0217 37.227 37.1787 46.779 5.90543 
2031  0 35.2579 38.4221 25.5396 36.6687 36.2874 46.4202 6.34594 
2032  0 35.2579 38.4221 24.5957 36.1132 35.7479 45.9326 6.50375 
2033  0 35.2579 38.4221 24.7303 35.7153 35.4084 45.8304 6.5275 

Spawning_Biomass Model_Proj.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2020 203.658 81.4632 71.2803 146.307 146.307 146.307 146.307 2.6148e-12 
2021 203.658 81.4632 71.2803 150.428 150.432 150.433 150.442 0.00473142 
2022 203.658 81.4632 71.2803 132.159 132.184 132.188 132.233 0.0248506 
2023 203.658 81.4632 71.2803 120.05 120.152 120.168 120.338 0.0974193 
2024 203.658 81.4632 71.2803 111.768 112.115 112.168 112.719 0.321989 
2025 203.658 81.4632 71.2803 104.93 105.933 106.075 107.668 0.923181 
2026 203.658 81.4632 71.2803 98.2119 100.745 101.09 105.094 2.29103 
2027 203.658 81.4632 71.2803 90.7677 96.1099 96.7996 104.911 4.72586 
2028 203.658 81.4632 71.2803 82.9375 92.1711 93.126 107.014 7.80516 
2029 203.658 81.4632 71.2803 76.36 88.6161 90.1156 108.033 10.4595 
2030 203.658 81.4632 71.2803 71.8158 86.2456 87.8703 108.893 11.9801 
2031 203.658 81.4632 71.2803 69.1845 84.5101 86.3239 109.308 12.545 
2032 203.658 81.4632 71.2803 67.7906 83.519 85.3096 107.403 12.5939 
2033 203.658 81.4632 71.2803 67.367 82.6523 84.6328 107.421 12.4243 

Fishing_mortalityModel_Proj.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2020  0 0.368177 0.455889 0.0483308 0.0483308 0.0483308 0.0483308 4.996e-16 
2021  0 0.368177 0.455889 0.368177 0.368177 0.368177 0.368177 4.05231e-15 
2022  0 0.368177 0.455889 0.368177 0.368177 0.368177 0.368177 4.05231e-15 
2023  0 0.368177 0.455889 0.368177 0.368177 0.368177 0.368177 4.05231e-15 
2024  0 0.368177 0.455889 0.368177 0.368177 0.368177 0.368177 4.05231e-15 
2025  0 0.368177 0.455889 0.368177 0.368177 0.368177 0.368177 4.05231e-15 
2026  0 0.368177 0.455889 0.368177 0.368177 0.368177 0.368177 4.05231e-15 
2027  0 0.368177 0.455889 0.368177 0.368177 0.368177 0.368177 4.05231e-15 
2028  0 0.368177 0.455889 0.368177 0.368177 0.368101 0.368177 0.000930159 
