"year","bio_total","CV_total","bio_ai","CV_ai","bio_ebs_grouped","CV_ebs_grouped","bio_flathead_sole","CV_flathead_sole","bio_Bering_flounder","CV_Bering_flounder"
1982,195048.02218,0.0874967710501681,NA,NA,192036.74,0.0887050397186358,192036.74,0.0887050397186358,0,NA
1983,272184.67,0.0995150677116906,1213.1,0.195644316312565,270971.57,0.0999570467730966,252612.47,0.106949996640034,18359.1,0.203616410414871
1984,290512.50313,0.0815953236790169,NA,NA,285848.89,0.0828287788560194,270794.46,0.0872828294068718,15054.43,0.216623555975552
1985,269732.27199,0.0714007510203044,NA,NA,265428.33,0.0724466394008853,252045.89,0.0764187470357885,13382.44,0.117742393310693
1986,363208.39,0.0864911015736049,5244.9,0.162272202565689,357963.49,0.0877237922129012,344001.82,0.0912877910133908,13961.67,0.168294710705808
1987,400149.60857,0.0924768038279101,NA,NA,393588.36,0.0939598340828654,379393.92,0.0975571756045703,14194.44,0.144092674981035
1988,571393.40305,0.0849928950580039,NA,NA,561868.21,0.0863886532261475,538769.81,0.0898367005737268,23098.4,0.22229594450601
1989,529947.96158,0.0821279847468386,NA,NA,521140.12,0.0834732677498689,502309.85,0.08670790357405,18830.26,0.200604086996508
1990,603586.88859,0.0879594231389378,NA,NA,593504.48,0.089410340482829,574173.79,0.0926434455269823,19330.69,0.146783292342724
1991,552948.51,0.0759491831253504,6938.8,0.197303814910724,546009.71,0.0768711599089632,518379.64,0.0806013981251108,27630.08,0.217657660819731
1992,628857.36845,0.103767718416943,NA,NA,618337.57,0.105490735529254,603139.63,0.108143492055015,15197.94,0.211187755510319
1993,618057.32776,0.0702865759618178,NA,NA,607724.46,0.0714451039334956,585400.42,0.0740786306056903,22324.04,0.211321172983373
1994,700087.66,0.0686807863959092,9934.9,0.225628192795869,690152.76,0.0695987673051876,664396.22,0.0721726298706499,25756.54,0.190859017933535
1995,604519.62266,0.0867726758407067,NA,NA,594421.07,0.0882026983445237,578944.61,0.0906467800167329,15476.46,0.179833212041864
1996,626947.18638,0.0890055226609746,NA,NA,616460.45,0.0904832880144748,604426.65,0.0924493234452954,12033.8,0.201721660827347
1997,795463.34,0.210053227476814,11554.4,0.235867461929612,783908.94,0.213122703106123,769782.53,0.217079117787503,14126.4,0.189292649091773
1998,695296.28529,0.202315601937627,NA,NA,683626.54,0.20572015488789,675765.68,0.207317986085343,7860.85,0.212690780767574
1999,407889.45236,0.0865413819433073,NA,NA,401194.24,0.0879270196121424,387994.91,0.0907377113391468,13199.33,0.180065766074254
2000,401723.1,0.0857067698212504,8906.3,0.228428727283604,392816.8,0.0874958790249104,384592.18,0.0894863711440416,8224.62,0.188762858133067
2001,524067.95853,0.102729496645131,NA,NA,515361.89,0.104418346845249,503943,0.107096129965875,11418.89,0.208736681343898
2002,563230.24,0.174783226229724,9897.6,0.243553564541107,553332.64,0.177854095454506,548401.12,0.179507611616549,4931.52,0.194604056484645
2003,523565.75625,0.102628707188712,NA,NA,514868.38,0.104316756995695,509155.99,0.105517973447823,5712.39,0.214615647772113
2004,625587.17,0.0837060720912882,13297.8,0.144472181645884,612289.37,0.0854695722621527,604186.33,0.0868562683420041,8103.04,0.314631002497843
2005,622882.90037,0.0841081819513316,NA,NA,612466.51,0.0855014439713821,605350.04,0.0865517985385813,7116.47,0.282534471338857
2006,644947.61,0.0919233017564845,9664.5,0.176017339823991,635283.11,0.0932873048364419,621390.18,0.0911170950076352,13892.93,0.321881504530434
2007,572105.34559,0.0903234121481404,NA,NA,562567.83,0.0918091383398565,552114.36,0.0933311975643239,10453.46,0.217184364016013
2008,554706.44972,0.140303200602464,NA,NA,545470.08,0.142634285687831,535359.27,0.145119070421857,10110.82,0.1878568184404
2009,425817.75131,0.115684265581185,NA,NA,418812.23,0.117563048888929,412162.99,0.119374426048026,6649.24,0.166394214004667
2010,507046.7,0.145724870007434,11811.6,0.305190431684643,495235.1,0.14902367336086,488625.55,0.15100257638856,6609.55,0.155430535322128
2011,593203.05169,0.182605338500453,NA,NA,583300.37,0.185652290483546,576498.47,0.187882808383751,6801.91,0.148973553833415
2012,387042.93,0.11380593477045,5565.8,0.150585005542718,381477.13,0.115446770010992,374842.06,0.117406208545376,6635.06,0.14406605544922
2013,499471.50494,0.169100484938992,NA,NA,491191.16,0.171896921625496,485486.3,0.17400476988168,5704.86,0.144791701881684
2014,532885.71,0.133357267676717,13435.9,0.139095871367121,519449.81,0.136756253601582,509801.01,0.139275694508242,9648.8,0.175513576107289
2015,399748.14999,0.110454685117173,NA,NA,393193.85,0.112237116311792,382172.62,0.115400828380183,11021.23,0.174414201535206
2016,453059.51,0.0695539012934494,6759.1,0.153507091936094,446300.41,0.0705679633257686,433468.96,0.0722247705903256,12831.45,0.237418126006859
2017,549716.51222,0.0775763363700349,NA,NA,540566.51,0.0788450033954308,531291.36,0.0802689919244894,9275.15,0.227766378896611
2018,495344.67,0.0757483209266817,6930,0.115113734718875,488414.67,0.0768034729645221,484890.3,0.0773818245818812,3524.36,0.160665390840362
2019,604445.48954,0.140709105471506,NA,NA,594348.22,0.143055408671778,592256.56,0.143551706573246,2091.66,0.328172590542125
