"Yr","name","Scenario 1","Scenario 2","Scenario 3","Scenario 4","Scenario 5","Scenario 6","Scenario 7"
2020,"SSB",146.307,146.307,146.307,146.307,146.307,146.307,146.307
2021,"SSB",150.433231,150.433231,150.433231,150.433231,150.433231,150.433231,150.433231
2022,"SSB",154.905888,154.905888,154.905888,154.905888,154.905888,126.440502,132.188478
2023,"SSB",160.137907,160.137907,160.137907,160.137907,160.137907,111.183627,120.168309
2024,"SSB",141.369349,141.369349,165.47334,163.740382,170.78509,101.378449,107.714753
2025,"SSB",126.904165,126.904165,169.517819,166.202906,179.926311,94.34328,98.7082804
2026,"SSB",115.616864,115.616864,172.274256,167.544808,187.468168,88.9244614,91.8566122
2027,"SSB",106.6734955,106.6734955,173.601485,167.649271,193.146789,84.5451263,86.456892
2028,"SSB",99.6795223,99.6795223,173.793031,166.816734,197.185313,81.0811909,82.226826
2029,"SSB",94.3786739,94.3786739,173.303882,165.488921,200.037017,78.8268831,79.425586
2030,"SSB",90.5094028,90.5094028,172.424111,163.941465,201.995793,77.4947129,77.7799355
2031,"SSB",87.870558,87.870558,171.327636,162.329143,203.258521,76.7248499,76.8443624
2032,"SSB",86.1839522,86.1839522,170.395035,160.978486,204.371458,76.2834065,76.3230497
2033,"SSB",85.0992896,85.0992896,169.197642,159.50285,204.70797,76.0414384,76.0457982
2020,"F",0.0483308,0.0483308,0.0483308,0.0483308,0.0483308,0.0483308,0.0483308
2021,"F",0.0628575216,0.0628575216,0.0628575216,0.0628575216,0.0628575216,0.455889,0.368177
2022,"F",0.0613702356,0.0613702356,0.0613702356,0.0613702356,0.0613702356,0.455889,0.368177
2023,"F",0.368177,0.368177,0.060491,0.0807373,0,0.455889,0.455889
2024,"F",0.368177,0.368177,0.060491,0.0807373,0,0.455889,0.455889
2025,"F",0.368177,0.368177,0.060491,0.0807373,0,0.455889,0.455889
2026,"F",0.368177,0.368177,0.060491,0.0807373,0,0.455889,0.455889
2027,"F",0.368177,0.368177,0.060491,0.0807373,0,0.453205409,0.455280159
2028,"F",0.368177,0.368177,0.060491,0.0807373,0,0.437885442,0.441388454
2029,"F",0.367464476,0.367464476,0.060491,0.0807373,0,0.425078748,0.427101202
2030,"F",0.3627983,0.3627983,0.060491,0.0807373,0,0.417657639,0.41857258
2031,"F",0.357953899,0.357953899,0.060491,0.0807373,0,0.414246986,0.414580851
2032,"F",0.354922189,0.354922189,0.060491,0.0807373,0,0.412386979,0.412459763
2033,"F",0.353131104,0.353131104,0.060491,0.0807373,0,0.411799496,0.411774167
2020,"Catch",8.669,8.669,8.669,8.669,8.669,8.669,8.669
2021,"Catch",11.519,11.519,11.519,11.519,11.519,75.8625863,62.5672227
2022,"Catch",11.519,11.519,11.519,11.519,11.519,65.3346123,55.9177869
2023,"Catch",65.7753152,65.7753152,11.64655,15.466583,0,58.2902121,62.2963501
2024,"Catch",58.6292326,58.6292326,11.9160052,15.6765722,0,53.3709961,56.2324701
2025,"Catch",53.0163837,53.0163837,12.1083784,15.7974605,0,49.7028515,51.7048667
2026,"Catch",48.6500288,48.6500288,12.2475168,15.861118,0,46.9063551,48.279376
2027,"Catch",45.211852,45.211852,12.3190773,15.8502247,0,44.4925053,45.5785423
2028,"Catch",42.5424216,42.5424216,12.3351518,15.7815017,0,41.6223253,42.4632616
2029,"Catch",40.4574168,40.4574168,12.315614,15.680445,0,39.5957136,40.0618279
2030,"Catch",38.5779516,38.5779516,12.27018188,15.5592711,0,38.4231877,38.6541847
2031,"Catch",37.1591418,37.1591418,12.20832591,15.4294612,0,37.8191475,37.9238989
2032,"Catch",36.2642974,36.2642974,12.15809747,15.3235417,0,37.4874611,37.529575
2033,"Catch",35.697746,35.697746,12.08681791,15.20256,0,37.3465679,37.3596676
