"file","caption","alt_text","category","png_time","StartTime"
"bio1_sizeatage.png","Length at age in the beginning of the year (or season) in the ending year of the model. Shaded area indicates 95% distribution of length at age around estimated growth curve.",NA,"Bio",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"bio2_sizeatage_plus_CV_and_SD.png","Length at age (top-left panel) with CV (thick line) and SD (thin line) of length at age shown in top-right and lower-left panels",NA,"Bio",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"bio3_sizeatage_plus_WT_and_MAT.png","Length at age (top-left panel) with weight (thick line) and maturity (thin line) shown in top-right and lower-left panels",NA,"Bio",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"bio1B_len_at_age_matrix_1.png","Distribution of length at age for seas: 1 sub_seas: 1 morph: 1",NA,"Bio",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"bio1B_len_at_age_matrix_2.png","Distribution of length at age for seas: 1 sub_seas: 1 morph: 2",NA,"Bio",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"bio1B_len_at_age_matrix_3.png","Distribution of length at age for seas: 1 sub_seas: 2 morph: 1",NA,"Bio",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"bio1B_len_at_age_matrix_4.png","Distribution of length at age for seas: 1 sub_seas: 2 morph: 2",NA,"Bio",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"bio5_weightatsize.png","Weight-length relationship",NA,"Bio",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"bio6_maturity.png","Maturity at age",NA,"Bio",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"bio7_fecundity.png","Fecundity",NA,"Bio",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"bio8_fecundity_wt.png","Fecundity as a function of weight",NA,"Bio",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"bio9_fecundity_len.png","Fecundity as a function of length",NA,"Bio",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"bio10_spawningoutput_len.png","Spawning output at length. This is the product of maturity and fecundity unless maturity is age-based, in which case only fecundity is represented.",NA,"Bio",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"bio11_spawningoutput_age.png","Spawning output at age. This is the product of maturity and fecundity. When these processes are length-based they are converted into the age dimension using the matrix of length at age.",NA,"Bio",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"sel01_multiple_fleets_length1.png","Selectivity at length for multiple fleets.",NA,"Sel",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"sel02_multiple_fleets_age1.png","Selectivity at age for multiple fleets.",NA,"Sel",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"sel02_multiple_fleets_age2.png","Selectivity at age derived from selectivity at length for multiple fleets.",NA,"Sel",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"sel03_len_timevary_surf_flt1sex1.png","Surface plot of Female time-varying selectivity for Fishery",NA,"Sel",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"sel04_len_timevary_contour_flt1sex1.png","Countour plot of Female time-varying selectivity for Fishery",NA,"Sel",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"sel09_len_flt1sex1.png","Female ending year selectivity for Fishery",NA,"Sel",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"sel03_len_timevary_surf_flt1sex2.png","Surface plot of Male time-varying selectivity for Fishery",NA,"Sel",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"sel04_len_timevary_contour_flt1sex2.png","Countour plot of Male time-varying selectivity for Fishery",NA,"Sel",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"sel09_len_flt1sex2.png","Male ending year selectivity for Fishery",NA,"Sel",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"sel14_age_flt2sex1.png","Female ending year selectivity for Survey",NA,"Sel",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"sel14_age_flt2sex2.png","Male ending year selectivity for Survey",NA,"Sel",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"sel21_agelen_contour_flt1sex1.png","Female ending year selectivity and growth for Fishery",NA,"Sel",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"sel21_agelen_contour_flt1sex2.png","Male ending year selectivity and growth for Fishery",NA,"Sel",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"ts7_Spawning_biomass_(mt).png","Spawning biomass (mt)",NA,"Timeseries",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
"ts7_Spawning_biomass_(mt)_with_95_asymptotic_intervals_intervals.png","Spawning biomass (mt) with ~95% asymptotic intervals",NA,"Timeseries",2024-05-31 14:06:40.046283,"StartTime: Wed May 29 12:43:23 2024"
