Stock Alt Year Catch ABC OFL SSB TotBiom
2024-06-03-projection_data.dat 1 2025 10731 79580.9 96197.7 204328 792890
2024-06-03-projection_data.dat 1 2026 10731 83205.2 100528 219898 823385
2024-06-03-projection_data.dat 1 2027 85804.9 85804.9 103616 229913 865935
2024-06-03-projection_data.dat 1 2028 76659.1 76659.1 92585.7 200975 851370
2024-06-03-projection_data.dat 1 2029 63020.6 63020.6 76298.8 176215 858191
2024-06-03-projection_data.dat 1 2030 55763.3 55763.3 67654.8 160858 884503
2024-06-03-projection_data.dat 1 2031 54975.1 54975.1 66770.1 156166 920279
2024-06-03-projection_data.dat 1 2032 58498.3 58498.3 71058.5 161166 954533
2024-06-03-projection_data.dat 1 2033 63680.3 63680.3 77329.1 171395 983619
2024-06-03-projection_data.dat 1 2034 68743.2 68743.2 83439.4 182616 1.00355e+06
2024-06-03-projection_data.dat 1 2035 72704.9 72704.9 88210.2 192096 1.0165e+06
2024-06-03-projection_data.dat 1 2036 75468.2 75468.2 91529.7 198991 1.02518e+06
2024-06-03-projection_data.dat 1 2037 77159.2 77159.2 93554.9 203124 1.02998e+06
2024-06-03-projection_data.dat 1 2038 78079.1 78079.1 94652.4 205146 1.03349e+06
2024-06-03-projection_data.dat 2 2025 10731 79580.9 96197.7 204328 792890
2024-06-03-projection_data.dat 2 2026 10731 83205.2 100528 219898 823385
2024-06-03-projection_data.dat 2 2027 85804.9 85804.9 103616 229913 865935
2024-06-03-projection_data.dat 2 2028 76659.1 76659.1 92585.7 200975 851370
2024-06-03-projection_data.dat 2 2029 63020.6 63020.6 76298.8 176215 858191
2024-06-03-projection_data.dat 2 2030 55763.3 55763.3 67654.8 160858 884503
2024-06-03-projection_data.dat 2 2031 54975.1 54975.1 66770.1 156166 920279
2024-06-03-projection_data.dat 2 2032 58498.3 58498.3 71058.5 161166 954533
2024-06-03-projection_data.dat 2 2033 63680.3 63680.3 77329.1 171395 983619
2024-06-03-projection_data.dat 2 2034 68743.2 68743.2 83439.4 182616 1.00355e+06
2024-06-03-projection_data.dat 2 2035 72704.9 72704.9 88210.2 192096 1.0165e+06
