"Year","Scenario 1","Scenario 2","Scenario 3","Scenario 4","Scenario 5","Scenario 6","Scenario 7"
2024,187073,187073,187073,187073,187073,187073,187073
2025,203938,203938,203938,203938,203938,203938,203938
2026,218878,218878,218878,218878,218878,181629,188748
2027,228211,228211,228211,228211,228211,162915,173351
2028,198679,198679,231401,228685,238311,148880,155046
2029,173648,173648,231781,226579,245329,138877,142500
2030,158626,158626,231953,224595,251561,133755,135822
2031,154325,154325,236429,227258,261420,135847,136953
2032,159700,159700,248307,237535,278267,145046,145565
2033,170239,170239,265544,253299,300211,157407,157581
2034,181692,181692,285333,271613,324754,169026,169026
2035,191338,191338,304621,289433,348798,177801,177731
2036,198351,198351,322254,305563,371321,183431,183349
2037,202577,202577,336628,318547,390271,186232,186162
2038,204663,204663,348225,328824,406261,187091,187039
