National Marine Fisheries Service
P.O. Box 21668
Juneau AK  99802-1668

2021 Bering Sea Aleutian Islands Weekly Catch

Through 2021-10-23

Weight in metric tons
Does not include catch of CDQ allocated species.  See Table 1 of the final harvest specifications for CDQ allocated species.
Screened for confidentiality - three or more processors reporting for each row 


ACCOUNT NAME,WEEK END DATE,METRIC TONS
AI Greenland Turbot,5/8/21,14
AI Greenland Turbot,5/22/21,28
AI Greenland Turbot,5/29/21,55
AI Greenland Turbot,6/5/21,18
AI Greenland Turbot,6/12/21,47
AI Greenland Turbot,6/19/21,26
AI Greenland Turbot,6/26/21,56
AI Greenland Turbot,7/3/21,36
AI Greenland Turbot,7/10/21,72
AI Greenland Turbot,7/17/21,39
AI Greenland Turbot,7/24/21,31
AI Greenland Turbot,8/7/21,2
AI Greenland Turbot,9/25/21,2
AI Greenland Turbot,10/16/21,0
AI Other Rockfish,2/13/21,17
AI Other Rockfish,2/20/21,2
AI Other Rockfish,2/27/21,2
AI Other Rockfish,3/6/21,4
AI Other Rockfish,3/13/21,3
AI Other Rockfish,3/20/21,8
AI Other Rockfish,3/27/21,11
AI Other Rockfish,4/3/21,4
AI Other Rockfish,4/10/21,7
AI Other Rockfish,4/17/21,9
AI Other Rockfish,4/24/21,12
AI Other Rockfish,5/1/21,5
AI Other Rockfish,5/8/21,9
AI Other Rockfish,5/15/21,2
AI Other Rockfish,5/22/21,1
AI Other Rockfish,5/29/21,3
AI Other Rockfish,6/5/21,0
AI Other Rockfish,6/12/21,12
AI Other Rockfish,6/19/21,13
AI Other Rockfish,6/26/21,14
AI Other Rockfish,7/3/21,14
AI Other Rockfish,7/10/21,11
AI Other Rockfish,7/17/21,16
AI Other Rockfish,7/24/21,24
AI Other Rockfish,7/31/21,37
AI Other Rockfish,8/7/21,16
AI Other Rockfish,8/14/21,13
AI Other Rockfish,8/21/21,13
AI Other Rockfish,8/28/21,15
AI Other Rockfish,9/4/21,16
AI Other Rockfish,9/11/21,11
AI Other Rockfish,9/18/21,14
AI Other Rockfish,9/25/21,22
AI Other Rockfish,10/2/21,36
AI Other Rockfish,10/9/21,14
AI Other Rockfish,10/16/21,26
AI Other Rockfish,10/23/21,25
AI Pollock ICA,2/6/21,5
AI Pollock ICA,2/13/21,0
AI Pollock ICA,2/20/21,2
AI Pollock ICA,2/27/21,2
AI Pollock ICA,3/6/21,1
AI Pollock ICA,3/13/21,0
AI Pollock ICA,3/20/21,19
AI Pollock ICA,3/27/21,10
AI Pollock ICA,4/3/21,11
AI Pollock ICA,4/10/21,0
AI Pollock ICA,4/17/21,1
AI Pollock ICA,4/24/21,31
AI Pollock ICA,5/1/21,5
AI Pollock ICA,5/8/21,12
AI Pollock ICA,5/22/21,50
AI Pollock ICA,5/29/21,121
AI Pollock ICA,6/12/21,96
AI Pollock ICA,6/19/21,145
AI Pollock ICA,6/26/21,132
AI Pollock ICA,7/3/21,56
AI Pollock ICA,7/10/21,191
AI Pollock ICA,7/17/21,89
AI Pollock ICA,7/24/21,160
AI Pollock ICA,7/31/21,63
AI Pollock ICA,8/7/21,27
AI Pollock ICA,8/14/21,28
AI Pollock ICA,8/21/21,60
AI Pollock ICA,8/28/21,21
AI Pollock ICA,9/4/21,6
AI Pollock ICA,9/11/21,18
AI Pollock ICA,9/18/21,8
AI Pollock ICA,9/25/21,7
AI Pollock ICA,10/2/21,7
AI Pollock ICA,10/9/21,41
AI Pollock ICA,10/16/21,7
AI Pollock ICA,10/23/21,8
AI Sablefish HAL/Pot,2/20/21,0
AI Sablefish HAL/Pot,2/27/21,0
AI Sablefish HAL/Pot,3/6/21,0
AI Sablefish HAL/Pot,3/13/21,0
AI Sablefish HAL/Pot,3/20/21,0
AI Sablefish HAL/Pot,3/27/21,0
AI Sablefish HAL/Pot,4/3/21,17
AI Sablefish HAL/Pot,4/10/21,87
AI Sablefish HAL/Pot,4/24/21,33
AI Sablefish HAL/Pot,5/8/21,86
AI Sablefish HAL/Pot,5/22/21,76
AI Sablefish HAL/Pot,6/19/21,15
AI Sablefish HAL/Pot,7/3/21,3
AI Sablefish HAL/Pot,7/31/21,3
AI Sablefish HAL/Pot,8/14/21,2
AI Sablefish HAL/Pot,8/28/21,18
AI Sablefish HAL/Pot,9/25/21,10
AI Sablefish HAL/Pot,10/2/21,2
AI Sablefish HAL/Pot,10/9/21,9
AI Sablefish HAL/Pot,10/16/21,4
AI Sablefish HAL/Pot,10/23/21,10
AI Sablefish TRW,2/13/21,2
AI Sablefish TRW,4/17/21,1
AI Sablefish TRW,4/24/21,0
AI Sablefish TRW,5/1/21,3
AI Sablefish TRW,5/8/21,34
AI Sablefish TRW,5/22/21,15
AI Sablefish TRW,5/29/21,82
AI Sablefish TRW,6/5/21,15
AI Sablefish TRW,6/12/21,42
AI Sablefish TRW,6/19/21,53
AI Sablefish TRW,6/26/21,54
AI Sablefish TRW,7/3/21,23
AI Sablefish TRW,7/10/21,53
AI Sablefish TRW,7/17/21,32
AI Sablefish TRW,7/24/21,104
AI Sablefish TRW,7/31/21,16
AI Sablefish TRW,8/7/21,14
AI Sablefish TRW,8/14/21,3
AI Sablefish TRW,8/21/21,2
AI Sablefish TRW,8/28/21,0
AI Sablefish TRW,9/4/21,1
AI Sablefish TRW,10/16/21,1
AI Sablefish TRW,10/23/21,10
BS Greenland Turbot,1/30/21,0
BS Greenland Turbot,2/13/21,1
BS Greenland Turbot,2/27/21,0
BS Greenland Turbot,4/10/21,0
BS Greenland Turbot,4/17/21,0
BS Greenland Turbot,4/24/21,0
BS Greenland Turbot,5/1/21,4
BS Greenland Turbot,5/8/21,19
BS Greenland Turbot,5/15/21,19
BS Greenland Turbot,5/22/21,43
BS Greenland Turbot,5/29/21,14
BS Greenland Turbot,6/5/21,41
BS Greenland Turbot,6/12/21,57
BS Greenland Turbot,6/19/21,60
BS Greenland Turbot,6/26/21,80
BS Greenland Turbot,7/3/21,65
BS Greenland Turbot,7/10/21,93
BS Greenland Turbot,7/17/21,118
BS Greenland Turbot,7/24/21,64
BS Greenland Turbot,7/31/21,76
BS Greenland Turbot,8/7/21,90
BS Greenland Turbot,8/14/21,108
BS Greenland Turbot,8/21/21,117
BS Greenland Turbot,8/28/21,39
BS Greenland Turbot,9/4/21,15
BS Greenland Turbot,9/11/21,0
BS Greenland Turbot,9/18/21,0
BS Greenland Turbot,9/25/21,1
BS Greenland Turbot,10/9/21,0
BS Other Rockfish,1/2/21,1
BS Other Rockfish,1/9/21,1
BS Other Rockfish,1/16/21,1
BS Other Rockfish,1/23/21,1
BS Other Rockfish,1/30/21,0
BS Other Rockfish,2/6/21,0
BS Other Rockfish,2/13/21,0
BS Other Rockfish,2/20/21,2
BS Other Rockfish,2/27/21,1
BS Other Rockfish,3/6/21,0
BS Other Rockfish,3/13/21,2
BS Other Rockfish,3/20/21,2
BS Other Rockfish,3/27/21,1
BS Other Rockfish,4/3/21,8
BS Other Rockfish,4/10/21,1
BS Other Rockfish,4/17/21,0
BS Other Rockfish,4/24/21,0
BS Other Rockfish,5/1/21,4
BS Other Rockfish,5/8/21,16
BS Other Rockfish,5/15/21,18
BS Other Rockfish,5/22/21,15
BS Other Rockfish,5/29/21,4
BS Other Rockfish,6/5/21,3
BS Other Rockfish,6/12/21,4
BS Other Rockfish,6/19/21,16
BS Other Rockfish,6/26/21,13
BS Other Rockfish,7/3/21,12
BS Other Rockfish,7/10/21,14
BS Other Rockfish,7/17/21,9
BS Other Rockfish,7/24/21,10
BS Other Rockfish,7/31/21,5
BS Other Rockfish,8/7/21,17
BS Other Rockfish,8/14/21,39
BS Other Rockfish,8/21/21,28
BS Other Rockfish,8/28/21,18
BS Other Rockfish,9/4/21,3
BS Other Rockfish,9/11/21,1
BS Other Rockfish,9/18/21,0
BS Other Rockfish,9/25/21,0
BS Other Rockfish,10/2/21,26
BS Other Rockfish,10/9/21,6
BS Other Rockfish,10/16/21,2
BS Other Rockfish,10/23/21,1
BS POP,2/6/21,1
BS POP,2/13/21,0
BS POP,2/20/21,2
BS POP,2/27/21,0
BS POP,3/13/21,0
BS POP,3/20/21,1
BS POP,3/27/21,4
BS POP,4/3/21,1
BS POP,4/10/21,0
BS POP,4/17/21,6
BS POP,4/24/21,7
BS POP,5/1/21,31
BS POP,5/8/21,33
BS POP,5/15/21,31
BS POP,5/22/21,2
BS POP,6/5/21,9
BS POP,6/12/21,33
BS POP,6/19/21,568
BS POP,6/26/21,343
BS POP,7/3/21,90
BS POP,7/10/21,345
BS POP,7/17/21,127
BS POP,7/24/21,225
BS POP,7/31/21,103
BS POP,8/7/21,171
BS POP,8/14/21,573
BS POP,8/21/21,166
BS POP,8/28/21,40
BS POP,9/4/21,145
BS POP,9/11/21,35
BS POP,9/18/21,50
BS POP,9/25/21,204
BS POP,10/2/21,1911
BS POP,10/9/21,499
BS POP,10/16/21,869
BS POP,10/23/21,936
BS Pollock CP,1/30/21,17886
BS Pollock CP,2/6/21,13725
BS Pollock CP,2/13/21,18009
BS Pollock CP,2/20/21,17463
BS Pollock CP,2/27/21,25029
BS Pollock CP,3/6/21,18587
BS Pollock CP,3/13/21,24793
BS Pollock CP,3/20/21,26678
BS Pollock CP,3/27/21,27854
BS Pollock CP,4/3/21,22218
BS Pollock CP,4/10/21,2906
BS Pollock CP,6/19/21,13128
BS Pollock CP,6/26/21,24355
BS Pollock CP,7/3/21,20477
BS Pollock CP,7/10/21,15324
BS Pollock CP,7/17/21,15596
BS Pollock CP,7/24/21,26103
BS Pollock CP,7/31/21,24224
BS Pollock CP,8/7/21,19978
BS Pollock CP,8/14/21,23528
BS Pollock CP,8/21/21,14390
BS Pollock CP,8/28/21,18189
BS Pollock CP,9/4/21,16110
BS Pollock CP,9/11/21,16411
BS Pollock CP,9/18/21,12289
BS Pollock CP,9/25/21,4627
BS Pollock ICA,1/2/21,2
BS Pollock ICA,1/9/21,47
BS Pollock ICA,1/16/21,50
BS Pollock ICA,1/23/21,162
BS Pollock ICA,1/30/21,317
BS Pollock ICA,2/6/21,839
BS Pollock ICA,2/13/21,1017
BS Pollock ICA,2/20/21,1658
BS Pollock ICA,2/27/21,2943
BS Pollock ICA,3/6/21,1094
BS Pollock ICA,3/13/21,2965
BS Pollock ICA,3/20/21,2444
BS Pollock ICA,3/27/21,2222
BS Pollock ICA,4/3/21,1542
BS Pollock ICA,4/10/21,1849
BS Pollock ICA,4/17/21,1554
BS Pollock ICA,4/24/21,1144
BS Pollock ICA,5/1/21,266
BS Pollock ICA,5/8/21,159
BS Pollock ICA,5/15/21,306
BS Pollock ICA,5/22/21,116
BS Pollock ICA,5/29/21,128
BS Pollock ICA,6/5/21,98
BS Pollock ICA,6/12/21,292
BS Pollock ICA,6/19/21,244
BS Pollock ICA,6/26/21,386
BS Pollock ICA,7/3/21,320
BS Pollock ICA,7/10/21,488
BS Pollock ICA,7/17/21,532
BS Pollock ICA,7/24/21,707
BS Pollock ICA,7/31/21,549
BS Pollock ICA,8/7/21,477
BS Pollock ICA,8/14/21,590
BS Pollock ICA,8/21/21,1123
BS Pollock ICA,8/28/21,908
BS Pollock ICA,9/4/21,1232
BS Pollock ICA,9/11/21,1508
BS Pollock ICA,9/18/21,1144
BS Pollock ICA,9/25/21,874
BS Pollock ICA,10/2/21,618
BS Pollock ICA,10/9/21,358
BS Pollock ICA,10/16/21,498
BS Pollock ICA,10/23/21,373
BS Pollock Inshore,1/30/21,5078
BS Pollock Inshore,2/6/21,14736
BS Pollock Inshore,2/13/21,9960
BS Pollock Inshore,2/20/21,15536
BS Pollock Inshore,2/27/21,14816
BS Pollock Inshore,3/6/21,8692
BS Pollock Inshore,3/13/21,25071
BS Pollock Inshore,3/20/21,25436
BS Pollock Inshore,3/27/21,26144
BS Pollock Inshore,4/3/21,22641
BS Pollock Inshore,4/10/21,27422
BS Pollock Inshore,4/17/21,25333
BS Pollock Inshore,4/24/21,23323
BS Pollock Inshore,5/1/21,9331
BS Pollock Inshore,6/12/21,13941
BS Pollock Inshore,6/19/21,18736
BS Pollock Inshore,6/26/21,20983
BS Pollock Inshore,7/3/21,18876
BS Pollock Inshore,7/10/21,24656
BS Pollock Inshore,7/17/21,24653
BS Pollock Inshore,7/24/21,23143
BS Pollock Inshore,7/31/21,21605
BS Pollock Inshore,8/7/21,23860
BS Pollock Inshore,8/14/21,24109
BS Pollock Inshore,8/21/21,25124
BS Pollock Inshore,8/28/21,23691
BS Pollock Inshore,9/4/21,15369
BS Pollock Inshore,9/11/21,13699
BS Pollock Inshore,9/18/21,8570
BS Pollock Inshore,9/25/21,8849
BS Pollock Inshore,10/2/21,7315
BS Pollock Inshore,10/9/21,9003
BS Pollock Mothership,1/30/21,1561
BS Pollock Mothership,2/6/21,6662
BS Pollock Mothership,2/13/21,4433
BS Pollock Mothership,2/20/21,4877
BS Pollock Mothership,2/27/21,5671
BS Pollock Mothership,3/6/21,2303
BS Pollock Mothership,3/13/21,5991
BS Pollock Mothership,3/20/21,6501
BS Pollock Mothership,3/27/21,6172
BS Pollock Mothership,4/3/21,4778
BS Pollock Mothership,6/19/21,2902
BS Pollock Mothership,6/26/21,5250
BS Pollock Mothership,7/3/21,4683
BS Pollock Mothership,7/10/21,5009
BS Pollock Mothership,7/17/21,4520
BS Pollock Mothership,7/24/21,5497
BS Pollock Mothership,7/31/21,5708
BS Pollock Mothership,8/7/21,5114
BS Pollock Mothership,8/14/21,4694
BS Pollock Mothership,8/21/21,5937
BS Pollock Mothership,8/28/21,6117
BS Pollock Mothership,9/4/21,3459
BS Sablefish HAL/Pot,1/2/21,0
BS Sablefish HAL/Pot,1/9/21,0
BS Sablefish HAL/Pot,1/16/21,0
BS Sablefish HAL/Pot,1/23/21,0
BS Sablefish HAL/Pot,1/30/21,0
BS Sablefish HAL/Pot,2/13/21,0
BS Sablefish HAL/Pot,2/20/21,0
BS Sablefish HAL/Pot,2/27/21,0
BS Sablefish HAL/Pot,3/6/21,0
BS Sablefish HAL/Pot,3/13/21,4
BS Sablefish HAL/Pot,3/20/21,3
BS Sablefish HAL/Pot,3/27/21,12
BS Sablefish HAL/Pot,4/3/21,21
BS Sablefish HAL/Pot,5/8/21,6
BS Sablefish HAL/Pot,5/15/21,61
BS Sablefish HAL/Pot,5/22/21,13
BS Sablefish HAL/Pot,5/29/21,31
BS Sablefish HAL/Pot,6/5/21,29
BS Sablefish HAL/Pot,6/12/21,11
BS Sablefish HAL/Pot,6/19/21,39
BS Sablefish HAL/Pot,6/26/21,2
BS Sablefish HAL/Pot,7/3/21,18
BS Sablefish HAL/Pot,7/10/21,88
BS Sablefish HAL/Pot,7/17/21,42
BS Sablefish HAL/Pot,7/24/21,0
BS Sablefish HAL/Pot,7/31/21,13
BS Sablefish HAL/Pot,8/7/21,20
BS Sablefish HAL/Pot,8/14/21,33
BS Sablefish HAL/Pot,8/21/21,27
BS Sablefish HAL/Pot,8/28/21,14
BS Sablefish HAL/Pot,9/4/21,45
BS Sablefish HAL/Pot,9/11/21,45
BS Sablefish HAL/Pot,9/18/21,50
BS Sablefish HAL/Pot,9/25/21,25
BS Sablefish HAL/Pot,10/2/21,202
BS Sablefish HAL/Pot,10/9/21,43
BS Sablefish TRW,2/13/21,0
BS Sablefish TRW,3/13/21,0
BS Sablefish TRW,3/20/21,0
BS Sablefish TRW,3/27/21,36
BS Sablefish TRW,5/1/21,25
BS Sablefish TRW,5/8/21,49
BS Sablefish TRW,5/15/21,56
BS Sablefish TRW,5/22/21,149
BS Sablefish TRW,6/5/21,37
BS Sablefish TRW,6/12/21,58
BS Sablefish TRW,6/19/21,193
BS Sablefish TRW,6/26/21,242
BS Sablefish TRW,7/3/21,73
BS Sablefish TRW,7/10/21,184
BS Sablefish TRW,7/17/21,223
BS Sablefish TRW,7/24/21,181
BS Sablefish TRW,7/31/21,144
BS Sablefish TRW,8/7/21,138
BS Sablefish TRW,8/14/21,110
BS Sablefish TRW,8/21/21,73
BS Sablefish TRW,8/28/21,98
BS Sablefish TRW,9/4/21,26
BS Sablefish TRW,9/11/21,29
BS Sablefish TRW,9/18/21,11
BS Sablefish TRW,9/25/21,13
BS Sablefish TRW,10/2/21,37
BS Sablefish TRW,10/9/21,16
BS Sablefish TRW,10/16/21,13
BS Sablefish TRW,10/23/21,15
BSAI Alaska Plaice,1/9/21,0
BSAI Alaska Plaice,1/23/21,98
BSAI Alaska Plaice,1/30/21,250
BSAI Alaska Plaice,2/6/21,485
BSAI Alaska Plaice,2/13/21,617
