Alternative Spp Yr  ABC OFL Catch SSB F Tot_biom SPR_Implied Ntot SexRatio
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61473 74528.4 15858.1 149044 0.0852571 617743 0.732584 508945 0.497002
1 Model_Proj.dat 2020 61809.8 74984.1 8555.53 147596 0.0453584 622501 0.836858 518050 0.496868
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61474.2 74529.9 15858.1 149046 0.0852555 621400 0.732588 509134 0.497003
1 Model_Proj.dat 2020 61830.3 75009.4 8555.53 147622 0.0453444 656533 0.8369 519865 0.496878
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61478.2 74534.9 15858.1 149053 0.0852502 633732 0.7326 509772 0.497007
1 Model_Proj.dat 2020 61859.3 75045.3 8555.53 147641 0.0453245 649980 0.83696 519707 0.496878
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61474.1 74529.8 15858.1 149046 0.0852556 621166 0.732587 509122 0.497003
1 Model_Proj.dat 2020 61819.6 74996.3 8555.53 147604 0.0453516 626012 0.836878 518283 0.496869
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61475 74530.9 15858.1 149047 0.0852545 623852 0.73259 509261 0.497004
1 Model_Proj.dat 2020 61831.3 75010.7 8555.53 147618 0.0453436 640848 0.836902 519090 0.496874
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61477.2 74533.6 15858.1 149051 0.0852515 630615 0.732597 509611 0.497006
1 Model_Proj.dat 2020 61852.1 75036.4 8555.53 147637 0.0453294 652072 0.836945 519770 0.496878
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61478.1 74534.7 15858.1 149053 0.0852504 633225 0.732599 509746 0.497007
1 Model_Proj.dat 2020 61857.4 75043.1 8555.53 147639 0.0453257 648314 0.836956 519614 0.496877
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61477 74533.4 15858.1 149051 0.0852518 629934 0.732596 509576 0.497006
1 Model_Proj.dat 2020 61855.2 75040.3 8555.53 147644 0.0453272 666842 0.836951 520524 0.496882
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61476.2 74532.4 15858.1 149049 0.0852528 627554 0.732594 509452 0.497005
1 Model_Proj.dat 2020 61844.4 75027 8555.53 147631 0.0453346 652375 0.836929 519740 0.496878
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61475.9 74532 15858.1 149049 0.0852532 626647 0.732593 509406 0.497005
1 Model_Proj.dat 2020 61840.3 75021.8 8555.53 147626 0.0453375 646661 0.836921 519431 0.496876
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61474 74529.7 15858.1 149046 0.0852557 620993 0.732587 509113 0.497003
1 Model_Proj.dat 2020 61821.8 74998.9 8555.53 147608 0.0453502 633876 0.836883 518687 0.496871
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61475.8 74531.9 15858.1 149049 0.0852534 626341 0.732593 509390 0.497004
1 Model_Proj.dat 2020 61837.6 75018.5 8555.53 147622 0.0453393 640957 0.836915 519132 0.496874
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61473.4 74528.9 15858.1 149045 0.0852566 618954 0.732585 509008 0.497002
1 Model_Proj.dat 2020 61814.2 74989.4 8555.53 147600 0.0453554 626306 0.836867 518265 0.496869
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61477 74533.4 15858.1 149051 0.0852518 630039 0.732596 509581 0.497006
1 Model_Proj.dat 2020 61851.5 75035.7 8555.53 147637 0.0453298 654636 0.836944 519894 0.496879
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61478.4 74535.1 15858.1 149053 0.0852499 634267 0.7326 509800 0.497007
1 Model_Proj.dat 2020 61865.7 75053.3 8555.53 147651 0.04532 665468 0.836973 520516 0.496882
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61474.9 74530.7 15858.1 149047 0.0852546 623471 0.73259 509241 0.497004
1 Model_Proj.dat 2020 61827.1 75005.5 8555.53 147612 0.0453465 631104 0.836894 518580 0.496871
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61474.2 74529.9 15858.1 149046 0.0852555 621426 0.732588 509136 0.497003
1 Model_Proj.dat 2020 61824.5 75002.3 8555.53 147612 0.0453483 638949 0.836888 518956 0.496873
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61474.1 74529.7 15858.1 149046 0.0852557 621034 0.732587 509115 0.497003
1 Model_Proj.dat 2020 61826.5 75004.7 8555.53 147616 0.045347 647809 0.836892 519408 0.496876
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61474.6 74530.4 15858.1 149047 0.085255 622594 0.732589 509196 0.497003
1 Model_Proj.dat 2020 61827.8 75006.3 8555.53 147615 0.045346 639844 0.836895 519019 0.496873
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61475.5 74531.5 15858.1 149048 0.0852538 625312 0.732592 509337 0.497004
1 Model_Proj.dat 2020 61831.9 75011.4 8555.53 147615 0.0453432 631425 0.836903 518624 0.496871
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61476.3 74532.5 15858.1 149050 0.0852528 627757 0.732594 509463 0.497005
1 Model_Proj.dat 2020 61845.4 75028.2 8555.53 147632 0.045334 653781 0.836931 519816 0.496878
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61478.6 74535.4 15858.1 149054 0.0852496 635003 0.732601 509838 0.497007
1 Model_Proj.dat 2020 61864.4 75051.7 8555.53 147647 0.0453209 655924 0.83697 520034 0.49688
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61473.8 74529.4 15858.1 149045 0.085256 620274 0.732587 509076 0.497003
1 Model_Proj.dat 2020 61820.6 74997.5 8555.53 147608 0.0453509 635922 0.83688 518782 0.496872
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61472.7 74528.1 15858.1 149044 0.0852574 616943 0.732583 508904 0.497002
1 Model_Proj.dat 2020 61822 74999.2 8555.53 147619 0.04535 665802 0.836883 520278 0.496881
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61478.7 74535.5 15858.1 149054 0.0852496 635109 0.732601 509843 0.497007
1 Model_Proj.dat 2020 61866.9 75054.8 8555.53 147651 0.0453192 662605 0.836975 520381 0.496882
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61476.4 74532.6 15858.1 149050 0.0852526 628061 0.732594 509479 0.497005
1 Model_Proj.dat 2020 61847.4 75030.6 8555.53 147635 0.0453326 657398 0.836935 520008 0.496879
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61476.5 74532.8 15858.1 149050 0.0852524 628505 0.732595 509502 0.497005
1 Model_Proj.dat 2020 61843.9 75026.2 8555.53 147628 0.045335 643255 0.836928 519283 0.496875
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61473.1 74528.6 15858.1 149044 0.0852569 618215 0.732584 508969 0.497002
1 Model_Proj.dat 2020 61813.1 74988.1 8555.53 147600 0.0453561 628784 0.836865 518382 0.49687
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61476.3 74532.5 15858.1 149050 0.0852527 627809 0.732594 509466 0.497005
1 Model_Proj.dat 2020 61842.9 75025.1 8555.53 147628 0.0453357 645762 0.836926 519402 0.496876
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61478.2 74534.9 15858.1 149053 0.0852502 633635 0.7326 509767 0.497007
1 Model_Proj.dat 2020 61862.2 75049 8555.53 147647 0.0453224 659660 0.836966 520207 0.496881
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61474.8 74530.6 15858.1 149047 0.0852547 623169 0.732589 509226 0.497004
1 Model_Proj.dat 2020 61836.5 75017.1 8555.53 147628 0.0453401 661815 0.836913 520164 0.49688
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61475.9 74532 15858.1 149049 0.0852533 626563 0.732593 509401 0.497005
1 Model_Proj.dat 2020 61838.6 75019.8 8555.53 147624 0.0453386 642299 0.836917 519205 0.496875
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61479.5 74536.6 15858.1 149055 0.0852484 637769 0.732604 509981 0.497008
1 Model_Proj.dat 2020 61880.8 75072 8555.53 147668 0.0453097 684441 0.837004 521549 0.496889
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61474 74529.7 15858.1 149046 0.0852557 620948 0.732587 509111 0.497003
1 Model_Proj.dat 2020 61819.8 74996.4 8555.53 147605 0.0453515 628032 0.836878 518384 0.49687
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61475.6 74531.6 15858.1 149048 0.0852537 625661 0.732592 509355 0.497004
1 Model_Proj.dat 2020 61834.3 75014.4 8555.53 147618 0.0453416 636070 0.836908 518869 0.496873
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61473.4 74528.9 15858.1 149045 0.0852565 619027 0.732585 509011 0.497002
1 Model_Proj.dat 2020 61820.5 74997.3 8555.53 147611 0.045351 645077 0.83688 519237 0.496875
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61476.9 74533.2 15858.1 149051 0.085252 629595 0.732596 509558 0.497005
1 Model_Proj.dat 2020 61850.1 75034 8555.53 147636 0.0453307 654057 0.836941 519857 0.496878
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61476.3 74532.6 15858.1 149050 0.0852526 628033 0.732594 509477 0.497005
1 Model_Proj.dat 2020 61841.5 75023.4 8555.53 147625 0.0453366 639790 0.836923 519096 0.496874
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61474.7 74530.6 15858.1 149047 0.0852548 623093 0.732589 509222 0.497004
1 Model_Proj.dat 2020 61832 75011.5 8555.53 147621 0.0453432 648735 0.836903 519486 0.496876
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61478.1 74534.8 15858.1 149053 0.0852503 633451 0.7326 509758 0.497007
1 Model_Proj.dat 2020 61867.1 75055 8555.53 147655 0.0453191 675893 0.836976 521044 0.496886
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61473.9 74529.6 15858.1 149046 0.0852559 620619 0.732587 509094 0.497003
1 Model_Proj.dat 2020 61820.4 74997.2 8555.53 147607 0.0453511 632525 0.83688 518611 0.496871
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61476.2 74532.5 15858.1 149050 0.0852528 627721 0.732594 509461 0.497005
1 Model_Proj.dat 2020 61842.5 75024.6 8555.53 147627 0.0453359 645329 0.836925 519378 0.496876
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61473.7 74529.4 15858.1 149045 0.0852561 620115 0.732586 509068 0.497003
1 Model_Proj.dat 2020 61817.2 74993.3 8555.53 147603 0.0453533 626770 0.836873 518306 0.496869
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61474.1 74529.8 15858.1 149046 0.0852556 621238 0.732587 509126 0.497003
1 Model_Proj.dat 2020 61820.7 74997.5 8555.53 147606 0.0453509 628536 0.83688 518414 0.49687
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61481.8 74539.3 15858.1 149059 0.0852455 644497 0.73261 510329 0.49701
1 Model_Proj.dat 2020 61895.8 75090.6 8555.53 147677 0.0452994 678408 0.837035 521337 0.496887
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61475.9 74532 15858.1 149049 0.0852532 626676 0.732593 509407 0.497005
1 Model_Proj.dat 2020 61841.5 75023.3 8555.53 147628 0.0453366 650179 0.836923 519614 0.496877
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61474.4 74530.2 15858.1 149046 0.0852552 622174 0.732588 509174 0.497003
1 Model_Proj.dat 2020 61828.8 75007.6 8555.53 147617 0.0453454 646041 0.836897 519333 0.496875
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61476.8 74533.2 15858.1 149051 0.085252 629437 0.732596 509550 0.497005
1 Model_Proj.dat 2020 61853.6 75038.3 8555.53 147642 0.0453284 665673 0.836948 520456 0.496882
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61478.6 74535.4 15858.1 149054 0.0852496 634953 0.732601 509835 0.497007
1 Model_Proj.dat 2020 61864 75051.3 8555.53 147646 0.0453212 655138 0.836969 519992 0.496879
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61474.8 74530.7 15858.1 149047 0.0852547 623335 0.73259 509234 0.497004
1 Model_Proj.dat 2020 61827.2 75005.6 8555.53 147612 0.0453465 632278 0.836894 518639 0.496871
1 Model_Proj.dat 2018 61267.5 74242 11006.6 151492 0.058845 599018 0.79836 507583 0.496991
1 Model_Proj.dat 2019 61474 74529.7 15858.1 149046 0.0852557 621021 0.732587 509115 0.497003
