"metric","2008","2009","2010","2011","2012"
"Fabc",0.406856,0.406856,0.406856,0.406856,0.406856
"Fabc",0.406856,0.406856,0.406856,0.406856,0.406856
"Fabc",406.856,406.856,406.856,406.856,406.856
"Fabc",406.856,406.856,406.856,406.856,406.856
"Fabc",406.856,406.856,406.856,406.856,406.856
"Fabc",406.856,406.856,406.856,406.856,406.856
"Fabc",0.406856,0.406856,0.406856,0.406856,0.406856
"Fofl",0.503663,0.503663,0.503663,0.503663,0.503663
"Fofl",0.503663,0.503663,0.503663,0.503663,0.503663
"Fofl",0.503663,0.503663,0.503663,0.503663,0.503663
"Fofl",0.503663,0.503663,0.503663,0.503663,0.503663
"Fofl",0.503663,0.503663,0.503663,0.503663,0.503663
"Fofl",0.503663,0.503663,0.503663,0.503663,0.503663
"Fofl",0.503663,0.503663,0.503663,0.503663,0.503663
"SSBF100",196683,196683,196683,196683,196683
"SSBF100",196683,196683,196683,196683,196683
"SSBF100",196683,196683,196683,196683,196683
"SSBF100",196683,196683,196683,196683,196683
"SSBF100",196683,196683,196683,196683,196683
"SSBF100",196683,196683,196683,196683,196683
"SSBF100",196683,196683,196683,196683,196683
"SSBFabc",78673.1,78673.1,78673.1,78673.1,78673.1
"SSBFabc",78673.1,78673.1,78673.1,78673.1,78673.1
"SSBFabc",78673.1,78673.1,78673.1,78673.1,78673.1
"SSBFabc",78673.1,78673.1,78673.1,78673.1,78673.1
"SSBFabc",78673.1,78673.1,78673.1,78673.1,78673.1
"SSBFabc",78673.1,78673.1,78673.1,78673.1,78673.1
"SSBFabc",78673.1,78673.1,78673.1,78673.1,78673.1
"SSBFofl",68839,68839,68839,68839,68839
"SSBFofl",68839,68839,68839,68839,68839
"SSBFofl",68839,68839,68839,68839,68839
"SSBFofl",68839,68839,68839,68839,68839
"SSBFofl",68839,68839,68839,68839,68839
"SSBFofl",68839,68839,68839,68839,68839
"SSBFofl",68839,68839,68839,68839,68839
"SSBMean",165466,160233,158685,158709,162368
"SSBMean",165466,160233,158685,158709,162368
"SSBMean",165466,160233,158685,158709,162368
"SSBMean",165466,160233,158685,158709,162368
"SSBMean",165466,160233,158685,158709,162368
"SSBMean",165466,160233,131262,113198,101661
"SSBMean",165466,160233,137406,122632,108229
"Catch",NA,19557900,20127100,13558000,11367500
"ABC",NA,68326500,68040900,67503400,67544600
"OFL",NA,82765600,82439500,81789000,81816500
"SSB",NA,160233000,158685000,158709000,162368000
"TotBiom",NA,596038000,582175000,568192000,560622000
